"Drug_Name","Year","Total Prescriptions","Total Patients","Total Cost","Out-Of-Pocket Cost","Total Cost Per Day","Out-Of-Pocket Cost Per Day"
"Methylphenidate",2019,"14,233,405","2,173,470","$205.35","$26.52","$6.59","$0.95"
"Methylphenidate",2020,"15,449,350","2,441,634","$212.02","$24.61","$7.77","$1.08"
"Methylphenidate",2021,"15,282,088","2,440,779","$181.67","$20.33","$7.26","$0.59"
"Methylphenidate",2022,"17,705,265","2,586,485","$168.70","$19.66","$6.72","$0.41"
"Ibuprofen",2013,"22,994,416","11,273,354","$11.71","$4.04","$0.89","$0.35"
"Ibuprofen",2014,"24,050,333","11,896,189","$13.17","$3.54","$1.06","$0.27"
"Ibuprofen",2015,"22,999,618","11,942,802","$12.12","$3.57","$1.02","$0.25"
"Ibuprofen",2016,"21,329,751","11,217,107","$13.71","$3.07","$0.95","$0.21"
"Ibuprofen",2017,"24,114,215","10,836,367","$13.06","$4.59","$0.89","$0.26"
"Ibuprofen",2018,"24,766,899","11,690,662","$11.88","$3.06","$0.94","$0.22"
"Ibuprofen",2019,"21,746,702","10,951,995","$10.92","$3.40","$0.83","$0.27"
"Ibuprofen",2020,"16,533,209","8,896,328","$10.07","$2.80","$0.61","$0.19"
"Ibuprofen",2021,"17,043,550","8,701,817","$9.25","$2.92","$0.66","$0.23"
"Ibuprofen",2022,"17,493,911","9,340,903","$12.77","$3.48","$0.84","$0.28"
"Carvedilol",2013,"21,816,538","3,862,708","$40.66","$6.66","$0.88","$0.13"
"Carvedilol",2014,"24,317,622","4,229,596","$27.95","$6.00","$0.70","$0.21"
"Carvedilol",2015,"25,388,562","4,407,320","$59.42","$5.80","$1.84","$0.15"
"Carvedilol",2016,"23,338,866","4,209,203","$49.35","$10.06","$1.19","$0.34"
"Carvedilol",2017,"22,974,069","4,265,142","$30.68","$6.89","$0.73","$0.12"
"Carvedilol",2018,"22,737,638","4,403,579","$33.16","$6.03","$0.59","$0.14"
"Carvedilol",2019,"20,602,256","4,553,133","$30.34","$6.61","$0.43","$0.09"
"Carvedilol",2020,"23,159,628","4,948,170","$13.04","$4.56","$0.19","$0.07"
"Carvedilol",2021,"21,782,177","5,039,099","$19.51","$4.51","$0.37","$0.07"
"Carvedilol",2022,"17,067,595","4,472,118","$16.45","$4.81","$0.23","$0.08"
"Potassium Chloride",2013,"26,147,782","5,027,091","$29.46","$10.28","$0.72","$0.28"
"Potassium Chloride",2014,"28,365,609","5,226,818","$31.11","$9.66","$0.74","$0.20"
"Potassium Chloride",2015,"25,145,952","5,131,292","$29.35","$9.29","$0.71","$0.20"
"Potassium Chloride",2016,"22,253,695","4,511,554","$32.99","$8.29","$0.74","$0.20"
"Potassium Chloride",2017,"19,821,825","4,187,691","$28.14","$9.69","$0.59","$0.21"
"Potassium Chloride",2018,"19,613,681","4,383,791","$39.14","$11.37","$0.77","$0.23"
"Potassium Chloride",2019,"20,001,670","4,589,222","$37.80","$11.27","$0.76","$0.25"
"Potassium Chloride",2020,"17,811,732","4,637,643","$42.00","$9.82","$0.66","$0.18"
"Potassium Chloride",2021,"18,543,551","4,479,822","$37.82","$9.46","$0.67","$0.20"
"Potassium Chloride",2022,"16,993,841","4,513,952","$33.35","$9.76","$0.58","$0.17"
"Aspirin",2013,"17,798,187","4,067,718","$4.92","$1.94","$0.13","$0.05"
"Aspirin",2014,"18,251,902","4,383,975","$5.31","$2.60","$0.13","$0.07"
"Aspirin",2015,"21,495,578","5,256,163","$3.49","$1.34","$0.09","$0.03"
"Aspirin",2016,"19,753,190","4,779,050","$5.45","$1.66","$0.14","$0.05"
"Aspirin",2017,"17,299,288","4,368,208","$5.35","$2.27","$0.15","$0.05"
"Aspirin",2018,"19,785,395","5,011,492","$4.48","$2.34","$0.10","$0.04"
"Aspirin",2019,"18,143,138","4,646,616","$4.49","$1.80","$0.11","$0.04"
"Aspirin",2020,"17,287,372","4,741,732","$4.54","$1.97","$0.13","$0.04"
"Aspirin",2021,"17,686,612","5,286,487","$4.70","$1.78","$0.11","$0.03"
"Aspirin",2022,"16,981,811","5,095,974","$4.80","$1.39","$0.11","$0.03"
"Pravastatin",2013,"32,960,150","6,706,969","$37.88","$7.62","$0.81","$0.15"
"Pravastatin",2014,"29,717,750","6,029,012","$49.10","$11.02","$0.86","$0.22"
"Pravastatin",2015,"29,349,783","5,883,085","$52.00","$9.94","$1.52","$0.17"
"Pravastatin",2016,"24,666,149","5,039,687","$43.21","$7.69","$0.84","$0.14"
"Pravastatin",2017,"24,812,698","5,351,690","$44.72","$7.67","$0.83","$0.15"
"Pravastatin",2018,"24,109,089","5,430,161","$40.29","$6.14","$0.68","$0.13"
"Pravastatin",2019,"20,683,277","4,875,694","$30.91","$7.61","$0.48","$0.14"
"Pravastatin",2020,"17,549,151","4,132,511","$19.91","$4.50","$0.32","$0.07"
"Pravastatin",2021,"15,936,065","3,917,270","$33.28","$5.36","$0.32","$0.10"
"Pravastatin",2022,"16,317,126","3,949,800","$27.83","$5.24","$0.41","$0.09"
"Ergocalciferol",2013,"13,397,130","3,275,568","$12.61","$7.69","$0.39","$0.20"
"Ergocalciferol",2014,"10,750,465","3,331,075","$11.46","$7.58","$0.28","$0.17"
"Ergocalciferol",2015,"13,296,226","3,660,857","$11.88","$6.42","$0.41","$0.15"
"Ergocalciferol",2016,"14,608,444","3,734,982","$9.98","$5.05","$0.29","$0.13"
"Ergocalciferol",2017,"14,578,147","3,848,509","$9.42","$5.32","$0.26","$0.14"
"Ergocalciferol",2018,"12,674,504","3,749,221","$13.90","$6.23","$0.39","$0.15"
"Ergocalciferol",2019,"13,273,652","4,124,239","$10.10","$6.42","$0.26","$0.16"
"Ergocalciferol",2020,"14,670,983","4,448,964","$12.10","$6.08","$0.23","$0.12"
"Ergocalciferol",2021,"17,179,725","5,191,630","$9.09","$4.69","$0.18","$0.09"
"Ergocalciferol",2022,"15,914,322","4,987,258","$7.97","$4.04","$0.21","$0.08"
"Allopurinol",2013,"17,022,734","3,334,720","$10.36","$5.85","$0.24","$0.12"
"Allopurinol",2014,"13,733,704","2,840,747","$14.57","$5.96","$0.31","$0.11"
"Allopurinol",2015,"15,165,006","2,919,460","$37.03","$7.32","$0.78","$0.13"
"Allopurinol",2016,"15,227,146","3,246,663","$20.53","$7.91","$0.36","$0.11"
"Allopurinol",2017,"14,835,618","2,975,824","$18.62","$7.47","$0.35","$0.14"
"Allopurinol",2018,"16,374,431","3,374,614","$16.23","$7.37","$0.31","$0.15"
"Allopurinol",2019,"15,900,788","3,637,367","$23.14","$8.74","$0.37","$0.16"
"Allopurinol",2020,"15,303,283","3,606,249","$18.03","$7.26","$0.27","$0.14"
"Allopurinol",2021,"15,706,780","3,768,723","$15.15","$6.58","$0.25","$0.11"
"Allopurinol",2022,"15,235,132","3,867,218","$15.98","$5.70","$0.26","$0.10"
"Citalopram",2013,"30,175,614","5,406,529","$19.25","$7.62","$0.47","$0.16"
"Citalopram",2014,"29,737,921","5,533,105","$27.39","$6.58","$0.68","$0.15"
"Citalopram",2015,"28,069,030","5,297,953","$18.00","$5.20","$0.44","$0.10"
"Citalopram",2016,"26,387,590","4,583,326","$16.43","$5.21","$0.42","$0.11"
"Citalopram",2017,"24,434,272","4,296,484","$15.75","$5.39","$0.34","$0.10"
"Citalopram",2018,"22,224,263","4,267,101","$15.34","$3.81","$0.45","$0.08"
"Citalopram",2019,"21,546,700","4,050,776","$18.69","$4.80","$0.49","$0.10"
"Citalopram",2020,"18,549,176","3,683,842","$8.12","$4.33","$0.17","$0.08"
"Citalopram",2021,"18,444,405","4,126,597","$10.28","$5.72","$0.20","$0.11"
"Citalopram",2022,"15,047,663","3,540,540","$11.12","$4.66","$0.21","$0.07"
"Alprazolam",2013,"25,882,288","5,255,646","$16.94","$6.81","$0.56","$0.28"
"Alprazolam",2014,"28,897,888","5,538,885","$15.93","$4.51","$0.66","$0.21"
"Alprazolam",2015,"27,051,071","5,029,359","$14.94","$5.28","$0.64","$0.22"
"Alprazolam",2016,"27,030,725","5,462,132","$16.36","$4.18","$0.72","$0.18"
"Alprazolam",2017,"25,516,329","5,113,280","$19.80","$7.21","$1.05","$0.45"
"Alprazolam",2018,"20,859,430","4,208,452","$14.86","$4.57","$0.62","$0.18"
"Alprazolam",2019,"17,533,262","3,925,013","$12.22","$4.05","$0.76","$0.33"
"Alprazolam",2020,"16,780,805","3,632,458","$11.71","$4.25","$0.47","$0.19"
"Alprazolam",2021,"15,380,320","3,325,555","$15.22","$4.63","$1.06","$0.29"
"Alprazolam",2022,"14,988,526","3,336,114","$11.31","$3.20","$0.47","$0.15"
"Glipizide",2013,"18,908,461","3,433,347","$22.41","$12.41","$0.65","$0.42"
"Glipizide",2014,"20,680,980","3,787,093","$16.61","$5.31","$0.32","$0.10"
"Glipizide",2015,"20,833,427","4,056,179","$13.21","$4.82","$0.30","$0.10"
"Glipizide",2016,"17,884,980","3,832,375","$16.52","$6.13","$0.33","$0.13"
"Glipizide",2017,"16,619,798","3,548,359","$17.63","$4.98","$0.35","$0.10"
"Glipizide",2018,"17,549,602","3,506,779","$16.47","$5.11","$0.30","$0.09"
"Glipizide",2019,"13,424,610","2,939,354","$15.45","$4.71","$0.26","$0.09"
"Glipizide",2020,"13,674,142","3,383,057","$11.87","$4.56","$0.19","$0.07"
"Glipizide",2021,"13,998,178","3,402,458","$13.94","$5.11","$0.18","$0.07"
"Glipizide",2022,"14,521,604","3,697,042","$15.53","$4.90","$0.24","$0.08"
"Cetirizine",2013,"8,332,266","2,316,134","$17.19","$4.02","$0.44","$0.08"
"Cetirizine",2014,"12,369,433","3,255,059","$14.04","$5.03","$0.37","$0.12"
"Cetirizine",2015,"11,836,437","3,382,042","$44.79","$14.89","$4.46","$1.37"
"Cetirizine",2016,"10,307,139","3,036,437","$14.61","$5.20","$0.38","$0.15"
"Cetirizine",2017,"11,818,750","3,454,395","$16.26","$4.01","$0.40","$0.12"
"Cetirizine",2018,"13,799,351","3,840,211","$15.98","$4.36","$0.48","$0.10"
"Cetirizine",2019,"11,110,560","3,439,020","$14.26","$4.28","$0.37","$0.12"
"Cetirizine",2020,"13,125,543","3,357,330","$14.10","$4.50","$0.24","$0.06"
"Cetirizine",2021,"13,929,421","4,000,093","$11.00","$4.45","$0.22","$0.10"
"Cetirizine",2022,"13,899,342","4,436,602","$13.15","$4.67","$0.20","$0.08"
"Venlafaxine",2013,"15,780,453","2,657,529","$79.36","$21.20","$2.33","$0.63"
"Venlafaxine",2014,"17,385,388","3,081,506","$81.59","$12.59","$2.02","$0.32"
"Venlafaxine",2015,"17,109,915","2,901,304","$48.94","$11.92","$1.56","$0.31"
"Venlafaxine",2016,"15,283,793","2,747,460","$69.57","$10.75","$1.92","$0.26"
"Venlafaxine",2017,"16,080,521","2,793,342","$83.91","$10.20","$1.89","$0.24"
"Venlafaxine",2018,"16,121,149","2,870,792","$90.09","$10.64","$2.25","$0.31"
"Venlafaxine",2019,"17,713,653","3,035,802","$46.59","$12.50","$1.21","$0.36"
"Venlafaxine",2020,"15,022,423","2,863,619","$92.15","$24.25","$3.24","$0.86"
"Venlafaxine",2021,"15,122,966","3,008,776","$31.49","$14.45","$0.60","$0.31"
"Venlafaxine",2022,"13,881,022","2,844,672","$58.79","$12.78","$1.25","$0.27"
"Cyclobenzaprine",2013,"18,664,351","6,388,568","$17.05","$4.35","$0.90","$0.31"
"Cyclobenzaprine",2014,"20,610,429","7,727,525","$27.10","$5.92","$1.15","$0.27"
"Cyclobenzaprine",2015,"20,206,825","6,949,936","$23.05","$8.30","$1.29","$0.36"
"Cyclobenzaprine",2016,"16,170,425","6,008,722","$21.64","$4.37","$0.89","$0.23"
"Cyclobenzaprine",2017,"17,148,429","5,978,057","$22.62","$6.18","$1.17","$0.28"
"Cyclobenzaprine",2018,"18,041,836","6,033,831","$17.97","$4.20","$1.01","$0.26"
"Cyclobenzaprine",2019,"15,597,385","5,379,870","$16.07","$4.29","$0.90","$0.32"
"Cyclobenzaprine",2020,"16,151,696","5,129,829","$15.29","$4.21","$0.69","$0.28"
"Cyclobenzaprine",2021,"14,426,039","5,107,046","$14.19","$4.54","$0.65","$0.22"
"Cyclobenzaprine",2022,"13,724,245","5,016,775","$17.03","$3.86","$0.83","$0.21"
"Hydroxyzine",2013,"6,856,103","2,147,555","$20.76","$5.92","$0.89","$0.38"
"Hydroxyzine",2014,"7,812,728","2,417,718","$20.36","$5.47","$0.94","$0.32"
"Hydroxyzine",2015,"8,297,684","2,497,562","$21.88","$6.23","$1.15","$0.25"
"Hydroxyzine",2016,"8,082,370","2,334,305","$20.07","$3.37","$1.03","$0.20"
"Hydroxyzine",2017,"7,944,928","2,292,130","$21.62","$6.57","$0.92","$0.35"
"Hydroxyzine",2018,"10,431,206","2,769,471","$16.25","$3.61","$0.82","$0.23"
"Hydroxyzine",2019,"9,898,263","2,977,526","$13.88","$4.11","$0.59","$0.18"
"Hydroxyzine",2020,"10,058,837","2,967,009","$16.85","$5.42","$0.70","$0.23"
"Hydroxyzine",2021,"11,643,508","3,392,983","$13.35","$4.55","$0.50","$0.16"
"Hydroxyzine",2022,"13,652,751","3,675,422","$14.61","$4.64","$0.59","$0.21"
"Clopidogrel",2013,"24,887,893","4,332,686","$133.29","$10.17","$2.55","$0.26"
"Clopidogrel",2014,"23,271,222","4,111,170","$59.12","$10.11","$1.15","$0.18"
"Clopidogrel",2015,"21,312,667","3,983,938","$69.99","$8.85","$1.84","$0.12"
"Clopidogrel",2016,"21,398,662","4,207,230","$70.66","$8.46","$1.86","$0.16"
"Clopidogrel",2017,"19,389,806","3,825,141","$52.00","$7.04","$1.20","$0.16"
"Clopidogrel",2018,"20,016,095","4,467,091","$71.47","$8.63","$1.23","$0.19"
"Clopidogrel",2019,"19,447,746","4,256,662","$31.84","$6.81","$0.45","$0.14"
"Clopidogrel",2020,"19,377,527","4,340,688","$18.39","$7.14","$0.28","$0.13"
"Clopidogrel",2021,"16,723,608","4,187,295","$15.44","$6.51","$0.23","$0.09"
"Clopidogrel",2022,"13,568,821","3,767,583","$21.78","$7.03","$0.32","$0.10"
"Semaglutide",2018,"445,540","208,749","$1,871.83","$37.12","$39.56","$1.03"
"Semaglutide",2019,"2,021,060","610,492","$1,011.14","$33.97","$27.58","$0.76"
"Semaglutide",2020,"4,827,483","1,126,514","$1,486.35","$50.03","$34.08","$1.21"
"Semaglutide",2021,"8,153,559","1,959,322","$1,403.16","$59.58","$29.52","$1.54"
"Semaglutide",2022,"13,523,981","3,281,179","$1,392.36","$44.10","$29.24","$1.31"
"Famotidine",2013,"4,794,361","1,356,302","$55.61","$5.33","$0.96","$0.09"
"Famotidine",2014,"6,091,332","1,578,550","$38.73","$5.19","$0.90","$0.15"
"Famotidine",2015,"5,753,397","1,365,637","$24.39","$3.22","$0.85","$0.10"
"Famotidine",2016,"5,702,253","1,493,363","$24.67","$5.28","$0.66","$0.09"
"Famotidine",2017,"6,412,032","1,760,352","$48.75","$4.66","$1.27","$0.10"
"Famotidine",2018,"6,470,718","1,739,478","$49.50","$5.78","$1.43","$0.16"
"Famotidine",2019,"6,355,768","2,287,703","$24.23","$6.58","$0.87","$0.22"
"Famotidine",2020,"10,441,964","3,383,683","$17.92","$5.75","$0.45","$0.11"
"Famotidine",2021,"11,668,047","3,867,415","$24.95","$6.34","$0.50","$0.13"
"Famotidine",2022,"13,156,330","4,182,077","$22.96","$5.01","$0.42","$0.11"
"Estradiol",2013,"14,094,799","3,091,075","$68.61","$29.85","$1.84","$0.92"
"Estradiol",2014,"13,220,499","3,142,820","$78.22","$29.67","$1.75","$0.66"
"Estradiol",2015,"14,278,513","3,270,299","$307.42","$57.90","$13.99","$1.99"
"Estradiol",2016,"13,361,413","3,177,005","$105.68","$30.62","$2.11","$0.79"
"Estradiol",2017,"12,358,564","2,854,696","$82.64","$23.48","$2.14","$0.62"
"Estradiol",2018,"13,583,025","3,131,795","$89.44","$21.10","$2.26","$0.57"
"Estradiol",2019,"12,393,425","2,860,475","$94.89","$28.34","$2.12","$0.78"
"Estradiol",2020,"11,307,655","3,131,982","$79.61","$21.22","$1.40","$0.45"
"Estradiol",2021,"11,382,723","2,864,047","$90.74","$25.22","$1.56","$0.48"
"Estradiol",2022,"12,622,775","3,300,902","$78.28","$32.89","$1.49","$0.63"
"Diclofenac",2013,"10,551,256","3,413,994","$59.89","$13.13","$2.24","$0.47"
"Diclofenac",2014,"9,162,791","3,293,010","$58.42","$10.70","$2.13","$0.51"
"Diclofenac",2015,"9,574,332","3,432,897","$75.59","$15.09","$3.39","$0.69"
"Diclofenac",2016,"9,431,206","3,329,149","$124.46","$15.13","$5.38","$0.71"
"Diclofenac",2017,"7,289,929","2,742,866","$88.29","$19.16","$3.14","$0.77"
"Diclofenac",2018,"10,023,570","3,509,000","$53.64","$8.20","$3.19","$0.69"
"Diclofenac",2019,"10,115,975","4,025,423","$106.35","$12.04","$3.82","$0.69"
"Diclofenac",2020,"9,926,749","3,647,127","$63.57","$10.49","$10.28","$0.94"
"Diclofenac",2021,"11,037,695","4,112,922","$226.90","$14.14","$1.73","$0.37"
"Diclofenac",2022,"12,480,262","4,295,892","$48.84","$7.00","$2.44","$0.29"
"Spironolactone",2013,"9,974,018","2,008,872","$18.16","$8.84","$0.37","$0.17"
"Spironolactone",2014,"10,225,679","2,385,365","$20.72","$6.71","$0.44","$0.13"
"Spironolactone",2015,"12,848,135","2,485,158","$20.18","$5.86","$0.43","$0.11"
"Spironolactone",2016,"11,991,114","2,386,223","$20.17","$5.73","$0.50","$0.15"
"Spironolactone",2017,"11,641,507","2,513,398","$16.72","$5.94","$0.35","$0.14"
"Spironolactone",2018,"12,260,624","2,610,298","$19.25","$6.77","$0.40","$0.16"
"Spironolactone",2019,"11,432,027","2,985,578","$17.31","$8.36","$0.35","$0.18"
"Spironolactone",2020,"13,354,566","3,131,156","$15.79","$5.83","$0.30","$0.12"
"Spironolactone",2021,"12,688,242","3,146,100","$15.60","$7.44","$0.27","$0.14"
"Spironolactone",2022,"12,450,600","3,229,839","$18.10","$7.09","$0.34","$0.13"
"Hydrochlorothiazide; Lisinopril",2013,"25,168,134","4,458,606","$14.90","$6.85","$0.31","$0.15"
"Hydrochlorothiazide; Lisinopril",2014,"23,095,053","4,177,400","$13.39","$7.28","$0.30","$0.15"
"Hydrochlorothiazide; Lisinopril",2015,"22,027,208","4,457,144","$18.80","$6.29","$0.42","$0.13"
"Hydrochlorothiazide; Lisinopril",2016,"14,862,223","3,163,656","$23.82","$5.85","$0.41","$0.13"
"Hydrochlorothiazide; Lisinopril",2017,"16,687,918","3,273,893","$18.49","$4.42","$0.39","$0.10"
"Hydrochlorothiazide; Lisinopril",2018,"15,944,017","3,147,241","$17.34","$4.86","$0.34","$0.10"
"Hydrochlorothiazide; Lisinopril",2019,"15,709,833","3,277,894","$18.89","$5.86","$0.21","$0.10"
"Hydrochlorothiazide; Lisinopril",2020,"13,559,563","2,899,536","$10.69","$5.88","$0.20","$0.11"
"Hydrochlorothiazide; Lisinopril",2021,"12,908,559","3,026,424","$10.51","$5.82","$0.17","$0.11"
"Hydrochlorothiazide; Lisinopril",2022,"12,335,355","2,917,147","$11.46","$4.63","$0.18","$0.08"
"Buspirone",2013,"6,844,887","1,156,436","$29.70","$6.57","$1.05","$0.22"
"Buspirone",2014,"7,560,250","1,212,526","$44.04","$4.56","$1.37","$0.16"
"Buspirone",2015,"6,941,561","1,318,582","$35.32","$4.87","$1.16","$0.15"
"Buspirone",2016,"8,456,948","1,509,630","$26.71","$6.48","$0.65","$0.18"
"Buspirone",2017,"10,195,216","1,852,445","$37.14","$6.83","$0.88","$0.15"
"Buspirone",2018,"8,149,119","1,774,887","$25.20","$6.01","$0.82","$0.18"
"Buspirone",2019,"9,881,603","2,172,778","$28.25","$5.45","$0.87","$0.15"
"Buspirone",2020,"11,820,023","2,562,053","$20.90","$7.19","$0.59","$0.19"
"Buspirone",2021,"12,694,068","2,644,397","$18.23","$6.65","$0.55","$0.17"
"Buspirone",2022,"12,332,589","2,671,839","$39.24","$5.95","$1.11","$0.15"
"Tramadol",2013,"24,017,494","7,101,924","$15.30","$5.29","$1.02","$0.40"
"Tramadol",2014,"25,809,738","7,901,384","$17.32","$5.30","$1.06","$0.37"
"Tramadol",2015,"24,904,460","7,725,439","$22.08","$6.35","$1.55","$0.46"
"Tramadol",2016,"19,479,377","5,969,186","$25.10","$5.58","$1.62","$0.31"
"Tramadol",2017,"21,096,312","5,727,491","$34.31","$4.51","$1.81","$0.24"
"Tramadol",2018,"24,952,328","6,952,833","$18.69","$6.54","$1.01","$0.38"
"Tramadol",2019,"19,838,715","5,496,843","$20.62","$5.24","$1.13","$0.29"
"Tramadol",2020,"17,475,419","4,878,951","$13.27","$3.89","$0.95","$0.27"
"Tramadol",2021,"15,446,495","5,026,719","$18.32","$4.05","$1.36","$0.34"
"Tramadol",2022,"12,203,197","4,050,454","$16.03","$4.15","$1.26","$0.32"
"Empagliflozin",2016,"1,397,988","298,665","$464.47","$37.31","$12.56","$1.51"
"Empagliflozin",2017,"2,223,050","466,662","$624.43","$32.49","$14.96","$1.03"
"Empagliflozin",2018,"2,649,791","546,564","$639.35","$52.21","$15.23","$0.87"
"Empagliflozin",2019,"4,459,539","914,424","$774.26","$34.65","$16.25","$0.63"
"Empagliflozin",2020,"6,724,608","1,607,647","$923.32","$38.44","$16.19","$0.87"
"Empagliflozin",2021,"8,480,340","2,159,608","$921.01","$48.47","$14.62","$0.79"
"Empagliflozin",2022,"12,009,951","3,063,605","$1,095.27","$45.07","$16.13","$0.87"
"Clonazepam",2013,"20,641,731","3,275,494","$33.69","$8.48","$0.56","$0.23"
"Clonazepam",2014,"21,021,489","3,546,052","$31.62","$5.45","$0.52","$0.15"
"Clonazepam",2015,"21,817,867","3,740,472","$14.62","$5.02","$0.61","$0.17"
"Clonazepam",2016,"18,675,679","3,387,401","$16.15","$4.58","$0.61","$0.13"
"Clonazepam",2017,"20,708,621","3,221,764","$16.76","$4.49","$0.64","$0.16"
"Clonazepam",2018,"17,064,643","2,792,493","$16.71","$5.62","$0.56","$0.20"
"Clonazepam",2019,"15,578,495","2,347,398","$17.13","$4.65","$0.63","$0.17"
"Clonazepam",2020,"14,758,212","2,498,126","$12.08","$3.44","$0.42","$0.09"
"Clonazepam",2021,"14,197,547","2,352,995","$15.34","$2.62","$0.55","$0.09"
"Clonazepam",2022,"11,711,065","1,968,091","$15.68","$3.24","$0.56","$0.11"
"Lamotrigine",2013,"8,800,287","1,238,610","$126.52","$63.80","$1.87","$0.25"
"Lamotrigine",2014,"12,705,157","1,886,783","$103.41","$14.75","$3.31","$0.26"
"Lamotrigine",2015,"12,096,327","1,690,364","$105.20","$9.80","$3.37","$0.26"
"Lamotrigine",2016,"11,276,212","1,716,881","$183.10","$13.62","$6.51","$0.40"
"Lamotrigine",2017,"12,053,690","1,724,829","$85.85","$9.35","$2.37","$0.17"
"Lamotrigine",2018,"11,582,775","1,758,591","$174.13","$8.14","$4.38","$0.38"
"Lamotrigine",2019,"10,690,317","1,818,670","$172.47","$13.57","$3.64","$0.39"
"Lamotrigine",2020,"10,801,628","1,713,712","$68.92","$8.54","$1.16","$0.21"
"Lamotrigine",2021,"13,244,443","1,957,025","$84.63","$12.08","$1.89","$0.22"
"Lamotrigine",2022,"11,704,668","1,880,284","$70.32","$12.20","$3.04","$0.32"
"Fluticasone; Salmeterol",2013,"18,935,034","3,871,806","$362.64","$41.78","$9.68","$1.30"
"Fluticasone; Salmeterol",2014,"16,419,775","3,466,437","$339.64","$33.82","$10.64","$1.12"
"Fluticasone; Salmeterol",2015,"17,082,573","3,696,581","$391.17","$46.00","$10.80","$0.86"
"Fluticasone; Salmeterol",2016,"12,314,689","3,035,862","$469.72","$41.28","$11.39","$1.10"
"Fluticasone; Salmeterol",2017,"12,144,045","2,838,911","$436.04","$59.37","$11.49","$1.85"
"Fluticasone; Salmeterol",2018,"12,020,859","2,572,941","$576.94","$48.11","$13.53","$1.28"
"Fluticasone; Salmeterol",2019,"9,762,036","2,315,744","$392.42","$39.11","$10.46","$1.09"
"Fluticasone; Salmeterol",2020,"11,577,409","2,562,481","$452.77","$43.47","$10.46","$1.31"
"Fluticasone; Salmeterol",2021,"10,678,059","2,794,066","$445.59","$40.38","$10.09","$0.90"
"Fluticasone; Salmeterol",2022,"11,570,693","3,163,220","$416.27","$32.12","$8.88","$0.82"
"Oxycodone",2013,"16,567,173","4,254,842","$130.19","$20.00","$6.11","$1.13"
"Oxycodone",2014,"13,888,026","4,204,030","$110.35","$18.56","$5.23","$1.24"
"Oxycodone",2015,"16,857,461","4,618,892","$97.43","$21.16","$4.97","$0.96"
"Oxycodone",2016,"14,693,850","4,654,270","$119.39","$12.90","$6.19","$0.89"
"Oxycodone",2017,"15,111,150","4,203,682","$114.43","$11.24","$5.09","$0.66"
"Oxycodone",2018,"16,967,479","4,917,269","$81.17","$17.28","$4.18","$0.88"
"Oxycodone",2019,"14,669,103","4,730,687","$163.18","$19.74","$6.92","$0.91"
"Oxycodone",2020,"12,289,518","4,092,089","$57.79","$15.74","$3.55","$1.12"
"Oxycodone",2021,"11,552,448","4,150,118","$156.08","$17.13","$6.40","$1.03"
"Oxycodone",2022,"11,314,082","4,797,946","$121.56","$17.52","$5.48","$1.15"
"Ondansetron",2013,"6,516,077","3,445,850","$71.18","$9.89","$8.65","$2.20"
"Ondansetron",2014,"6,548,132","3,696,782","$81.48","$11.64","$14.89","$3.18"
"Ondansetron",2015,"7,443,855","3,898,126","$54.04","$7.60","$11.06","$1.56"
"Ondansetron",2016,"8,450,779","4,673,470","$94.31","$8.48","$8.87","$1.20"
"Ondansetron",2017,"9,484,904","4,797,860","$90.87","$7.37","$8.59","$1.29"
"Ondansetron",2018,"12,240,225","5,043,859","$70.79","$8.94","$10.94","$2.06"
"Ondansetron",2019,"11,856,066","5,284,836","$46.75","$6.74","$7.28","$1.32"
"Ondansetron",2020,"8,773,584","4,247,796","$43.59","$3.27","$5.66","$0.67"
"Ondansetron",2021,"8,790,270","4,741,786","$36.78","$4.21","$6.80","$1.21"
"Ondansetron",2022,"10,880,346","5,755,033","$37.30","$6.19","$4.58","$0.89"
"Cholecalciferol",2013,"6,006,411","1,629,233","$7.97","$3.57","$0.13","$0.06"
"Cholecalciferol",2014,"7,048,307","2,050,746","$7.00","$3.50","$0.13","$0.08"
"Cholecalciferol",2015,"6,091,235","1,760,627","$9.05","$3.98","$0.23","$0.09"
"Cholecalciferol",2016,"7,355,887","2,172,943","$7.09","$3.79","$0.15","$0.08"
"Cholecalciferol",2017,"7,477,204","1,966,697","$6.51","$3.28","$0.15","$0.08"
"Cholecalciferol",2018,"7,750,930","2,318,369","$6.83","$3.87","$0.16","$0.08"
"Cholecalciferol",2019,"9,582,829","2,503,969","$6.83","$3.74","$0.17","$0.09"
"Cholecalciferol",2020,"11,115,876","2,977,877","$6.55","$4.36","$0.22","$0.18"
"Cholecalciferol",2021,"10,583,900","3,367,693","$6.91","$4.11","$0.17","$0.11"
"Cholecalciferol",2022,"10,833,991","3,330,178","$7.99","$3.98","$0.14","$0.07"
"Atenolol",2013,"32,479,368","5,957,602","$12.63","$5.28","$0.22","$0.10"
"Atenolol",2014,"30,837,679","5,561,711","$11.11","$5.33","$0.21","$0.10"
"Atenolol",2015,"30,034,519","5,575,580","$13.12","$4.80","$0.26","$0.10"
"Atenolol",2016,"26,739,322","5,100,253","$15.16","$3.73","$0.27","$0.06"
"Atenolol",2017,"20,208,476","4,131,408","$15.13","$4.42","$0.32","$0.08"
"Atenolol",2018,"18,644,884","3,975,612","$13.38","$4.54","$0.23","$0.08"
"Atenolol",2019,"18,091,488","3,788,125","$13.04","$5.18","$0.21","$0.09"
