Job Title,Level,Job Title Full,Salary Estimate,Salary_Min,Salary_Max,Salary_Avg,Rating,Company Name,Glassdoor_Rating,Location,Location_State,Company_Headquarters,Company_Size,Founded,Type of ownership,Industry,Sector,Revenue (USD)
Data Analyst,Associate,Data Analyst - Associate,$39K-$69K ,"$39,000","$69,000 ","$54,000 ",3.7,"The Hanover Insurance Group
",3.7,"Worcester, MA",MA,"Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion 
Data Analyst,Consultant,Data Analyst - Consultant,$52K-$81K ,"$52,000","$81,000 ","$66,500 ",4.4,"SpringML
",4.4,"Indianapolis, IN",IN,"Pleasanton, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst,Consultant,Data Analyst - Consultant,$54K-$71K ,"$54,000","$71,000 ","$62,500 ",3,"Infosys
",3,"Hartford, CT",CT,"Bengaluru, India",10000+ employees,1981,Company - Public,IT Services,Information Technology,$10+ billion 
Data Analyst,Consultant,Data Analyst - Consultant,$54K-$71K ,"$54,000","$71,000 ","$62,500 ",3,"Infosys
",3,"Hartford, CT",CT,"Bengaluru, India",10000+ employees,1981,Company - Public,IT Services,Information Technology,$10+ billion 
Data Analyst,Consultant,Data Analyst - Consultant,$54K-$71K ,"$54,000","$71,000 ","$62,500 ",3,"Infosys
",3,"Hartford, CT",CT,"Bengaluru, India",10000+ employees,1981,Company - Public,IT Services,Information Technology,$10+ billion 
Data Analyst,Consultant,Data Analyst - Consultant,$37K-$68K ,"$37,000","$68,000 ","$52,500 ",4.2,"Opinion Dynamics
",4.2,"San Diego, CA",CA,"Waltham, MA",51 to 200 employees,1987,Company - Private,Consulting,Business Services,$10 to $25 million 
Data Analyst,Junior,Data Analyst - Junior,$37K-$76K ,"$37,000","$76,000 ","$56,500 ",4.7,"webfx.com
",4.7,"Harrisburg, PA",PA,"Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million 
Data Analyst,Junior,Data Analyst - Junior,$37K-$63K ,"$37,000","$63,000 ","$50,000 ",3.3,"The HSC Health Care System
",3.3,"Washington, DC",DC,"Washington, DC",501 to 1000 employees,1883,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst,Lead,Data Analyst - Lead,$32K-$62K ,"$32,000","$62,000 ","$47,000 ",3.9,"Signpost
",3.9,"New York, NY",NY,"New York, NY",201 to 500 employees,2010,Company - Private,Internet,Information Technology,$10 to $25 million 
Data Analyst,Lead,Data Analyst - Lead,$32K-$62K ,"$32,000","$62,000 ","$47,000 ",3.9,"Signpost
",3.9,"New York, NY",NY,"New York, NY",201 to 500 employees,2010,Company - Private,Internet,Information Technology,$10 to $25 million 
Data Analyst,Lead,Data Analyst - Lead,$74K-$126K ,"$74,000","$126,000 ","$100,000 ",3.4,"Blue Cross & Blue Shield of Rhode Island
",3.4,"Providence, RI",RI,"Providence, RI",501 to 1000 employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable
Data Analyst,Senior,Data Analyst - Senior,$52K-$93K ,"$52,000","$93,000 ","$72,500 ",2.1,"United BioSource
",2.1,"Blue Bell, PA",PA,"Blue Bell, PA",1001 to 5000 employees,2003,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million 
Data Analyst,Senior,Data Analyst - Senior,$48K-$85K ,"$48,000","$85,000 ","$66,500 ",3,"AmeriHealth Caritas
",3,"Philadelphia, PA",PA,"Philadelphia, PA",5001 to 10000 employees,1983,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion 
Data Analyst,Senior,Data Analyst - Senior,$48K-$85K ,"$48,000","$85,000 ","$66,500 ",3,"AmeriHealth Caritas
",3,"Philadelphia, PA",PA,"Philadelphia, PA",5001 to 10000 employees,1983,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion 
Data Analyst,Senior,Data Analyst - Senior,$39K-$71K ,"$39,000","$71,000 ","$55,000 ",4.3,"Integrate
",4.3,"Phoenix, AZ",AZ,"Phoenix, AZ",201 to 500 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million 
Data Analyst,Senior,Data Analyst - Senior,$44K-$78K ,"$44,000","$78,000 ","$61,000 ",4.8,"KnowBe4
",4.8,"Clearwater, FL",FL,"Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million 
Data Analyst,Senior,Data Analyst - Senior,$43K-$80K ,"$43,000","$80,000 ","$61,500 ",2.9,"National Student Clearinghouse
",2.9,"Herndon, VA",VA,"Herndon, VA",201 to 500 employees,1993,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million 
Data Analyst,Senior,Data Analyst - Senior,$55K-$100K ,"$55,000","$100,000 ","$77,500 ",2.8,"Dodge Data & Analytics
",2.8,"Hamilton, NJ",NJ,"Hamilton, NJ",201 to 500 employees,2014,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Analyst,Senior,Data Analyst - Senior,$44K-$78K ,"$44,000","$78,000 ","$61,000 ",4.8,"KnowBe4
",4.8,"Clearwater, FL",FL,"Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million 
Data Analyst,Senior,Data Analyst - Senior,$43K-$80K ,"$43,000","$80,000 ","$61,500 ",2.9,"National Student Clearinghouse
",2.9,"Herndon, VA",VA,"Herndon, VA",201 to 500 employees,1993,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million 
Data Analyst,Senior,Data Analyst - Senior,$55K-$100K ,"$55,000","$100,000 ","$77,500 ",2.8,"Dodge Data & Analytics
",2.8,"Hamilton, NJ",NJ,"Hamilton, NJ",201 to 500 employees,2014,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Analyst,Senior,Data Analyst - Senior,$65K-$110K ,"$65,000","$110,000 ","$87,500 ",1.9,"Moda Operandi
",1.9,"New York, NY",NY,"New York, NY",201 to 500 employees,2010,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million 
Data Analyst,Senior,Data Analyst - Senior,$99K-$178K ,"$99,000","$178,000 ","$138,500 ",3.9,"Life360
",3.9,"San Francisco, CA",CA,"San Francisco, CA",51 to 200 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Analyst,Senior,Data Analyst - Senior,$69K-$119K ,"$69,000","$119,000 ","$94,000 ",4,"Novetta
",4,"Herndon, VA",VA,"Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million 
Data Analyst,Senior,Data Analyst - Senior,$65K-$110K ,"$65,000","$110,000 ","$87,500 ",1.9,"Moda Operandi
",1.9,"New York, NY",NY,"New York, NY",201 to 500 employees,2010,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million 
Data Analyst,Senior,Data Analyst - Senior,$99K-$178K ,"$99,000","$178,000 ","$138,500 ",3.9,"Life360
",3.9,"San Francisco, CA",CA,"San Francisco, CA",51 to 200 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Analyst,Senior,Data Analyst - Senior,$90K-$153K ,"$90,000","$153,000 ","$121,500 ",4.5,"Demandbase
",4.5,"San Francisco, CA",CA,"San Francisco, CA",201 to 500 employees,2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million 
Data Analyst,Senior,Data Analyst - Senior,$79K-$136K ,"$79,000","$136,000 ","$107,500 ",3.3,"Johns Hopkins Health Care
",3.3,"Glen Burnie, MD",MD,"Baltimore, MD",1001 to 5000 employees,1889,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion 
Data Analyst,Senior,Data Analyst - Senior,$22K-$35K ,"$22,000","$35,000 ","$28,500 ",2.7,"FLEETCOR
",2.7,"Nashville, TN",TN,"Peachtree Corners, GA",5001 to 10000 employees,2000,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion 
Data Analyst,Senior,Data Analyst - Senior,$22K-$35K ,"$22,000","$35,000 ","$28,500 ",2.7,"FLEETCOR
",2.7,"Nashville, TN",TN,"Peachtree Corners, GA",5001 to 10000 employees,2000,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion 
Data Engineer,,Data Engineer,$63K-$110K ,"$63,000","$110,000 ","$86,500 ",4.3,"Medidata Solutions
",4.3,"New York, NY",NY,"New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion 
Data Engineer,,Data Engineer,$101K-$158K ,"$101,000","$158,000 ","$129,500 ",3.6,"MassMutual
",3.6,"Boston, MA",MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion 
Data Engineer,,Data Engineer,$101K-$158K ,"$101,000","$158,000 ","$129,500 ",3.6,"MassMutual
",3.6,"Boston, MA",MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion 
Data Engineer,,Data Engineer,$62K-$119K ,"$62,000","$119,000 ","$90,500 ",4.4,"SpringML
",4.4,"Indianapolis, IN",IN,"Pleasanton, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$84K-$153K ,"$84,000","$153,000 ","$118,500 ",3.3,"Peraton
",3.3,"Chantilly, VA",VA,"Herndon, VA",1001 to 5000 employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion 
Data Engineer,,Data Engineer,$71K-$129K ,"$71,000","$129,000 ","$100,000 ",4.1,"Centro
",4.1,"Chicago, IL",IL,"Chicago, IL",501 to 1000 employees,2001,Company - Private,Internet,Information Technology,$100 to $500 million 
Data Engineer,,Data Engineer,$74K-$138K ,"$74,000","$138,000 ","$106,000 ",3.5,"Lancer Insurance
",3.5,"Long Beach, NY",NY,"Long Beach, NY",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million 
Data Engineer,,Data Engineer,$68K-$129K ,"$68,000","$129,000 ","$98,500 ",3.6,"Persivia
",3.6,"Marlborough, MA",MA,"Lowell, MA",1 to 50 employees,,Company - Private,,,Less than $1 million 
Data Engineer,,Data Engineer,$60K-$114K ,"$60,000","$114,000 ","$87,000 ",4,"Excella Consulting
",4,"Arlington, VA",VA,"Arlington, VA",201 to 500 employees,2002,Company - Private,Consulting,Business Services,$50 to $100 million 
Data Engineer,,Data Engineer,$68K-$123K ,"$68,000","$123,000 ","$95,500 ",3.9,"CapTech
",3.9,"Charlotte, NC",NC,"Richmond, VA",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million 
Data Engineer,,Data Engineer,$54K-$102K ,"$54,000","$102,000 ","$78,000 ",3.4,"Sapphire Digital
",3.4,"Lyndhurst, NJ",NJ,"Lyndhurst, NJ",201 to 500 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$76K-$140K ,"$76,000","$140,000 ","$108,000 ",4,"Autodesk
",4,"San Francisco, CA",CA,"San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion 
Data Engineer,,Data Engineer,$65K-$125K ,"$65,000","$125,000 ","$95,000 ",4.7,"Object Partners
",4.7,"Minneapolis, MN",MN,"Minneapolis, MN",51 to 200 employees,1996,Company - Private,Consulting,Business Services,$25 to $50 million 
Data Engineer,,Data Engineer,$85K-$159K ,"$85,000","$159,000 ","$122,000 ",4,"Upside Business Travel
",4,"Washington, DC",DC,"Washington, DC",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$80K-$105K,"$80,000","$105,000 ","$92,500 ",4.3,"Equity Residential
",4.3,"Chicago, IL",IL,"Chicago, IL",1001 to 5000 employees,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion 
Data Engineer,,Data Engineer,$120K-$145K,"$120,000","$145,000 ","$132,500 ",5,"Gridiron IT
",5,"Tampa, FL",FL,"Reston, VA",51 to 200 employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$80K-$120K ,"$80,000","$120,000 ","$100,000 ",4.3,"Productive Edge
",4.3,"Chicago, IL",IL,"Chicago, IL",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million 
Data Engineer,,Data Engineer,$60K-$114K ,"$60,000","$114,000 ","$87,000 ",3.9,"AVANADE
",3.9,"Washington, DC",DC,"Seattle, WA",10000+ employees,2000,Company - Private,IT Services,Information Technology,$2 to $5 billion 
Data Engineer,,Data Engineer,$59K-$110K ,"$59,000","$110,000 ","$84,500 ",3.9,"Cogo Labs
",3.9,"Cambridge, MA",MA,"Cambridge, MA",51 to 200 employees,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$48K-$95K ,"$48,000","$95,000 ","$71,500 ",4.2,"IZEA
",4.2,"Winter Park, FL",FL,"Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million 
Data Engineer,,Data Engineer,$48K-$93K ,"$48,000","$93,000 ","$70,500 ",3.7,"P2 Energy Solutions
",3.7,"Lafayette, LA",LA,"Denver, CO",501 to 1000 employees,,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$59K-$110K ,"$59,000","$110,000 ","$84,500 ",3.9,"Cogo Labs
",3.9,"Cambridge, MA",MA,"Cambridge, MA",51 to 200 employees,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$62K-$114K ,"$62,000","$114,000 ","$88,000 ",4.4,"Eventbrite
",4.4,"Nashville, TN",TN,"San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$100 to $500 million 
Data Engineer,,Data Engineer,$48K-$95K ,"$48,000","$95,000 ","$71,500 ",4.2,"IZEA
",4.2,"Winter Park, FL",FL,"Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million 
Data Engineer,,Data Engineer,$70K-$132K ,"$70,000","$132,000 ","$101,000 ",3.2,"PennyMac
",3.2,"Agoura Hills, CA",CA,"Westlake Village, CA",1001 to 5000 employees,2008,Company - Public,Lending,Finance,$500 million to $1 billion 
Data Engineer,,Data Engineer,$52K-$99K ,"$52,000","$99,000 ","$75,500 ",4.6,"Applied Information Sciences
",4.6,"Houston, TX",TX,"Reston, VA",501 to 1000 employees,1982,Company - Private,IT Services,Information Technology,$50 to $100 million 
Data Engineer,,Data Engineer,$67K-$117K ,"$67,000","$117,000 ","$92,000 ",4.1,"ManTech
",4.1,"Herndon, VA",VA,"Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion 
Data Engineer,,Data Engineer,$48K-$93K ,"$48,000","$93,000 ","$70,500 ",3.7,"P2 Energy Solutions
",3.7,"Lafayette, LA",LA,"Denver, CO",501 to 1000 employees,,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$65K-$119K ,"$65,000","$119,000 ","$92,000 ",3.6,"MassMutual
",3.6,"Springfield, MA",MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion 
Data Engineer,,Data Engineer,$75K-$143K ,"$75,000","$143,000 ","$109,000 ",4.4,"SpringML
",4.4,"Herndon, VA",VA,"Pleasanton, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$65K-$124K ,"$65,000","$124,000 ","$94,500 ",3.5,"Alignment Healthcare
",3.5,"Orange, CA",CA,"Orange, CA",501 to 1000 employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$43K-$86K ,"$43,000","$86,000 ","$64,500 ",3.2,"Guidepoint
",3.2,"New York, NY",NY,"New York, NY",501 to 1000 employees,2003,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$74K-$124K ,"$74,000","$124,000 ","$99,000 ",4,"Pinnacol Assurance
",4,"Denver, CO",CO,"Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion 
Data Engineer,,Data Engineer,$76K-$142K ,"$76,000","$142,000 ","$109,000 ",3.4,"MetroStar Systems
",3.4,"Rockville, MD",MD,"Reston, VA",201 to 500 employees,1999,Company - Private,IT Services,Information Technology,$25 to $50 million 
Data Engineer,,Data Engineer,$61K-$109K ,"$61,000","$109,000 ","$85,000 ",4.4,"BRMi
",4.4,"Chantilly, VA",VA,"Washington, DC",51 to 200 employees,2004,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$65K-$119K ,"$65,000","$119,000 ","$92,000 ",3.6,"MassMutual
",3.6,"Springfield, MA",MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion 
Data Engineer,,Data Engineer,$63K-$120K ,"$63,000","$120,000 ","$91,500 ",3.2,"Numeric, LLC
",3.2,"King of Prussia, PA",PA,"Chadds Ford, PA",1 to 50 employees,,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million 
Data Engineer,,Data Engineer,$75K-$143K ,"$75,000","$143,000 ","$109,000 ",4.4,"SpringML
",4.4,"Herndon, VA",VA,"Pleasanton, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$76K-$145K ,"$76,000","$145,000 ","$110,500 ",3.7,"GNY Insurance Companies
",3.7,"New York, NY",NY,"New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million 
Data Engineer,,Data Engineer,$65K-$124K ,"$65,000","$124,000 ","$94,500 ",3.5,"Alignment Healthcare
",3.5,"Orange, CA",CA,"Orange, CA",501 to 1000 employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$55K-$105K ,"$55,000","$105,000 ","$80,000 ",3.4,"Trace3
",3.4,"Houston, TX",TX,"Irvine, CA",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$1 to $2 billion 
Data Engineer,,Data Engineer,$57K-$80K ,"$57,000","$80,000 ","$68,500 ",3.5,"Saama Technologies Inc
",3.5,"Phoenix, AZ",AZ,"Campbell, CA",501 to 1000 employees,1997,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$43K-$86K ,"$43,000","$86,000 ","$64,500 ",3.2,"Guidepoint
",3.2,"New York, NY",NY,"New York, NY",501 to 1000 employees,2003,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$79K-$147K ,"$79,000","$147,000 ","$113,000 ",3.1,"NCSOFT
",3.1,"Aliso Viejo, CA",CA,"Seoul, South Korea",1001 to 5000 employees,1997,Company - Public,Video Games,Media,$10+ billion 
Data Engineer,,Data Engineer,$74K-$124K ,"$74,000","$124,000 ","$99,000 ",4,"Pinnacol Assurance
",4,"Denver, CO",CO,"Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion 
Data Engineer,,Data Engineer,$76K-$142K ,"$76,000","$142,000 ","$109,000 ",3.4,"MetroStar Systems
",3.4,"Rockville, MD",MD,"Reston, VA",201 to 500 employees,1999,Company - Private,IT Services,Information Technology,$25 to $50 million 
Data Engineer,,Data Engineer,$61K-$109K ,"$61,000","$109,000 ","$85,000 ",4.4,"BRMi
",4.4,"Chantilly, VA",VA,"Washington, DC",51 to 200 employees,2004,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$42K-$79K ,"$42,000","$79,000 ","$60,500 ",3.4,"IntraEdge
",3.4,"Scottsdale, AZ",AZ,"Chandler, AZ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$50 to $100 million 
Data Engineer,,Data Engineer,$74K-$137K ,"$74,000","$137,000 ","$105,500 ",3.7,"Maxar Technologies
",3.7,"Springfield, VA",VA,"Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion 
Data Engineer,,Data Engineer,$57K-$109K ,"$57,000","$109,000 ","$83,000 ",2.8,"ICW Group
",2.8,"San Diego, CA",CA,"San Diego, CA",501 to 1000 employees,1972,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion 
Data Engineer,,Data Engineer,$65K-$126K ,"$65,000","$126,000 ","$95,500 ",3.5,"SPINS, LLC
",3.5,"Chicago, IL",IL,"Chicago, IL",201 to 500 employees,1995,Company - Private,Consulting,Business Services,$50 to $100 million 
Data Engineer,,Data Engineer,$58K-$104K ,"$58,000","$104,000 ","$81,000 ",3.7,"Carilion Clinic
",3.7,"Roanoke, VA",VA,"Roanoke, VA",10000+ employees,1899,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion 
Data Engineer,,Data Engineer,$65K-$124K ,"$65,000","$124,000 ","$94,500 ",3.5,"Alignment Healthcare
",3.5,"Orange, CA",CA,"Orange, CA",501 to 1000 employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$55K-$105K ,"$55,000","$105,000 ","$80,000 ",3.4,"Trace3
",3.4,"Houston, TX",TX,"Irvine, CA",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$1 to $2 billion 
Data Engineer,,Data Engineer,$57K-$80K ,"$57,000","$80,000 ","$68,500 ",3.5,"Saama Technologies Inc
",3.5,"Phoenix, AZ",AZ,"Campbell, CA",501 to 1000 employees,1997,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$79K-$147K ,"$79,000","$147,000 ","$113,000 ",3.1,"NCSOFT
",3.1,"Aliso Viejo, CA",CA,"Seoul, South Korea",1001 to 5000 employees,1997,Company - Public,Video Games,Media,$10+ billion 
Data Engineer,,Data Engineer,$74K-$124K ,"$74,000","$124,000 ","$99,000 ",4,"Pinnacol Assurance
",4,"Denver, CO",CO,"Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion 
Data Engineer,,Data Engineer,$76K-$142K ,"$76,000","$142,000 ","$109,000 ",3.4,"MetroStar Systems
",3.4,"Rockville, MD",MD,"Reston, VA",201 to 500 employees,1999,Company - Private,IT Services,Information Technology,$25 to $50 million 
Data Engineer,,Data Engineer,$62K-$113K ,"$62,000","$113,000 ","$87,500 ",3.9,"Fivestars
",3.9,"San Francisco, CA",CA,"San Francisco, CA",201 to 500 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million 
Data Engineer,,Data Engineer,$44K-$86K ,"$44,000","$86,000 ","$65,000 ",3.8,"Shipt
",3.8,"Birmingham, AL",AL,"Birmingham, AL",501 to 1000 employees,2014,Subsidiary or Business Segment,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$59K-$115K ,"$59,000","$115,000 ","$87,000 ",4.2,"The Church of Jesus Christ of Latter-day Saints
",4.2,"Riverton, UT",UT,"Salt Lake City, UT",10000+ employees,,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$74K-$140K ,"$74,000","$140,000 ","$107,000 ",4.2,"The Church of Jesus Christ of Latter-day Saints
",4.2,"Riverton, UT",UT,"Salt Lake City, UT",10000+ employees,,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$74K-$140K ,"$74,000","$140,000 ","$107,000 ",4.2,"The Church of Jesus Christ of Latter-day Saints
",4.2,"Riverton, UT",UT,"Salt Lake City, UT",10000+ employees,,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$102K-$190K ,"$102,000","$190,000 ","$146,000 ",3.6,"Audible
",3.6,"Newark, NJ",NJ,"Newark, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$54K-$101K ,"$54,000","$101,000 ","$77,500 ",3.9,"Vermeer
",3.9,"Pella, IA",IA,"Pella, IA",1001 to 5000 employees,1948,Company - Private,Industrial Manufacturing,Manufacturing,$1 to $2 billion 
Data Engineer,,Data Engineer,$71K-$134K ,"$71,000","$134,000 ","$102,500 ",3.7,"Takeda Pharmaceuticals
",3.7,"Cambridge, MA",MA,"OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion 
Data Engineer,,Data Engineer,$44K-$73K ,"$44,000","$73,000 ","$58,500 ",3.8,"COUNTRY Financial
",3.8,"Bloomington, IL",IL,"Bloomington, IL",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion 
Data Engineer,,Data Engineer,$37K-$66K ,"$37,000","$66,000 ","$51,500 ",3.3,"Liberty Mutual Insurance
",3.3,"Indianapolis, IN",IN,"Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion 
Data Engineer,,Data Engineer,$37K-$66K ,"$37,000","$66,000 ","$51,500 ",3.3,"Liberty Mutual Insurance
",3.3,"Indianapolis, IN",IN,"Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion 
Data Engineer,,Data Engineer,$116K-$208K ,"$116,000","$208,000 ","$162,000 ",4,"Adobe
",4,"San Jose, CA",CA,"San Jose, CA",10000+ employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion 
Data Engineer,,Data Engineer,$116K-$208K ,"$116,000","$208,000 ","$162,000 ",4,"Adobe
",4,"San Jose, CA",CA,"San Jose, CA",10000+ employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion 
Data Engineer,,Data Engineer,$61K-$119K ,"$61,000","$119,000 ","$90,000 ",3.4,"Arbella Insurance
",3.4,"Quincy, MA",MA,"Quincy, MA",1001 to 5000 employees,1988,Company - Private,Insurance Carriers,Insurance,$100 to $500 million 
Data Engineer,,Data Engineer,$61K-$119K ,"$61,000","$119,000 ","$90,000 ",3.4,"Arbella Insurance
",3.4,"Quincy, MA",MA,"Quincy, MA",1001 to 5000 employees,1988,Company - Private,Insurance Carriers,Insurance,$100 to $500 million 
Data Engineer,,Data Engineer,$61K-$119K ,"$61,000","$119,000 ","$90,000 ",3.4,"Arbella Insurance
",3.4,"Quincy, MA",MA,"Quincy, MA",1001 to 5000 employees,1988,Company - Private,Insurance Carriers,Insurance,$100 to $500 million 
Data Engineer,,Data Engineer,$77K-$136K ,"$77,000","$136,000 ","$106,500 ",3.8,"BlueCross BlueShield of Tennessee
",3.8,"Chattanooga, TN",TN,"Chattanooga, TN",5001 to 10000 employees,1945,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion 
Data Engineer,,Data Engineer,$63K-$101K ,"$63,000","$101,000 ","$82,000 ",3.5,"Esri
",3.5,"Arlington, VA",VA,"Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion 
